research_status,decision_unit_id,governed_project_name,presentation_category,source_department,source_domain,candidate_source_title,source_url,arcgis_item_id,arcgis_service_id,layer_id,feature_object_id,source_agency,geometry_type,geometry_origin,source_date,last_updated_date,historically_compatible_with_2026_01_21,historical_fit_judgment,match_identifiers,match_method,match_confidence,ambiguity_flag,ambiguity_notes,multiple_possible_features,governance_eligibility,display_role,secondary_evidence,research_notes
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/ems/demand-station-3,ATCEMS Demand Station #3 (1705 S Congress Ave),Community Facilities,EMS,Emergency Medical Services,atcems_stations,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/atcems_stations/FeatureServer/0,0dec1c67e73c4e82983eea76702cc703,atcems_stations,0,2,City of Austin,point,source-native,,2025-10-01T17:40:49Z,YES_PRE_SNAPSHOT,YES_PRE_SNAPSHOT: EMS layer modified 2025-10-01,Demand 03; 1705 S Congress Ave,Exact demand-station number and governed address,HIGH,false,,false,ELIGIBLE_FOR_GOVERNANCE_REVIEW,FACILITY_SITE_CONTEXT,,Existing-facility/project-site evidence; do not imply a capital construction footprint.
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/ems/demand-station-4,ATCEMS Demand Station #4,Community Facilities,EMS,Emergency Medical Services,atcems_stations,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/atcems_stations/FeatureServer/0,0dec1c67e73c4e82983eea76702cc703,atcems_stations,0,3,City of Austin,point,source-native,,2025-10-01T17:40:49Z,YES_PRE_SNAPSHOT,YES_PRE_SNAPSHOT: EMS layer modified 2025-10-01,Demand 04; 15 Waller St,Exact official demand-station identifier,HIGH,false,,false,ELIGIBLE_FOR_GOVERNANCE_REVIEW,FACILITY_SITE_CONTEXT,,Existing-facility/project-site evidence; do not imply a capital construction footprint.
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/ems/demand-station-9,ATCEMS Demand Station #9,Community Facilities,EMS,Emergency Medical Services,Official 2026 Bond source plus relevant City facility/project GIS layers searched,https://services.austintexas.gov/edims/document.cfm?id=466344,,,,,City of Austin,no geometry,none,sources through 2026-09-08 research date,,NO_PROJECT_SITE_ESTABLISHED,"NO_PROJECT_SITE_ESTABLISHED: proposed/new facility, acquisition program, or generic program record has no defensible project-specific location",ATCEMS Demand Station #9,"Exact-name, department, facility, capital-project, address, and GIS searches produced no unique project geometry",NO_MATCH,false,,false,REMAIN_UNMAPPED,UNMAPPED,,"Remain explicitly unmapped; do not use district, ZIP, neighborhood, department HQ, or similarly named facility centroids."
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/ems/station-03,ATCEMS Station #03 (1305 Red River St),Community Facilities,EMS,Emergency Medical Services,atcems_stations,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/atcems_stations/FeatureServer/0,0dec1c67e73c4e82983eea76702cc703,atcems_stations,0,17,City of Austin,point,source-native,,2025-10-01T17:40:49Z,YES_PRE_SNAPSHOT,YES_PRE_SNAPSHOT: EMS layer modified 2025-10-01,Station 03; 1305 Red River St,Exact station number and governed address,HIGH,false,,false,ELIGIBLE_FOR_GOVERNANCE_REVIEW,FACILITY_SITE_CONTEXT,,Existing-facility/project-site evidence; do not imply a capital construction footprint.
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/ems/station-14,ATCEMS Station #14 (7200 Berkman Dr),Community Facilities,EMS,Emergency Medical Services,atcems_stations,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/atcems_stations/FeatureServer/0,0dec1c67e73c4e82983eea76702cc703,atcems_stations,0,27,City of Austin,point,source-native,,2025-10-01T17:40:49Z,YES_PRE_SNAPSHOT,YES_PRE_SNAPSHOT: EMS layer modified 2025-10-01,Station 14; 7200 Berkman Dr,Exact station number and governed address,HIGH,false,,false,ELIGIBLE_FOR_GOVERNANCE_REVIEW,FACILITY_SITE_CONTEXT,,Existing-facility/project-site evidence; do not imply a capital construction footprint.
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/fire/education-building-b,Education Building B,Community Facilities,Fire,Fire,Official 2026 Bond facility source and departmental facility GIS reviewed,https://services.austintexas.gov/edims/document.cfm?id=456140,,,,,City of Austin,no geometry,none,2025-08-13 / 2026-01-21 source set,,INSUFFICIENT_PROJECT_LINKAGE,INSUFFICIENT_PROJECT_LINKAGE: contextual location is stable but not tied to the governed decision unit,Education Building B; official fire/training datasets contain only generic campus/training context,Generic departmental context is not a project-specific facility identifier,LOW,true,"A plausible campus/facility context exists, but no unique project site is proven.",false,NOT_ELIGIBLE,UNMAPPED,,LOW confidence is not suitable for production pins.
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/fire/station-14,Fire Station 14 Renovation,Community Facilities,Fire,Fire,LOCATION_fire_stations,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/LOCATION_fire_stations/FeatureServer/0,1315ce99a0c84d4ab83f136a6e90a3e5,LOCATION_fire_stations,0,126,City of Austin,point,source-native,,2025-09-30T16:15:22Z,YES_PRE_SNAPSHOT,YES_PRE_SNAPSHOT: fire station layer modified 2025-09-30,Fire Station 14; 4305 Airport Blvd,Exact official station number,HIGH,false,,false,ELIGIBLE_FOR_GOVERNANCE_REVIEW,FACILITY_SITE_CONTEXT,,Existing-facility/project-site evidence; do not imply a capital construction footprint.
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/fire/station-15,Fire Station 15 Renovation,Community Facilities,Fire,Fire,LOCATION_fire_stations,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/LOCATION_fire_stations/FeatureServer/0,1315ce99a0c84d4ab83f136a6e90a3e5,LOCATION_fire_stations,0,75,City of Austin,point,source-native,,2025-09-30T16:15:22Z,YES_PRE_SNAPSHOT,YES_PRE_SNAPSHOT: fire station layer modified 2025-09-30,Fire Station 15; 829 Airport Blvd,Exact official station number,HIGH,false,,false,ELIGIBLE_FOR_GOVERNANCE_REVIEW,FACILITY_SITE_CONTEXT,,Existing-facility/project-site evidence; do not imply a capital construction footprint.
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/fire/station-20,Fire Station 20 Renovation,Community Facilities,Fire,Fire,LOCATION_fire_stations,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/LOCATION_fire_stations/FeatureServer/0,1315ce99a0c84d4ab83f136a6e90a3e5,LOCATION_fire_stations,0,48,City of Austin,point,source-native,,2025-09-30T16:15:22Z,YES_PRE_SNAPSHOT,YES_PRE_SNAPSHOT: fire station layer modified 2025-09-30,Fire Station 20; 6601 Menchaca Rd,Exact official station number,HIGH,false,,false,ELIGIBLE_FOR_GOVERNANCE_REVIEW,FACILITY_SITE_CONTEXT,,Existing-facility/project-site evidence; do not imply a capital construction footprint.
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/fire/station-26,Fire Station 26 Expansion,Community Facilities,Fire,Fire,LOCATION_fire_stations,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/LOCATION_fire_stations/FeatureServer/0,1315ce99a0c84d4ab83f136a6e90a3e5,LOCATION_fire_stations,0,105,City of Austin,point,source-native,,2025-09-30T16:15:22Z,YES_PRE_SNAPSHOT,YES_PRE_SNAPSHOT: fire station layer modified 2025-09-30,Fire Station 26; 6702 Wentworth Dr,Exact official station number,HIGH,false,,false,ELIGIBLE_FOR_GOVERNANCE_REVIEW,FACILITY_SITE_CONTEXT,,Existing-facility/project-site evidence; do not imply a capital construction footprint.
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/fleet/consolidated-service-center,Consolidated Fleet Service Center (South/Southeast),Community Facilities,Fleet Services,Fleet Services,Official 2026 Bond source plus relevant City facility/project GIS layers searched,https://services.austintexas.gov/edims/document.cfm?id=456140,,,,,City of Austin,no geometry,none,sources through 2026-09-08 research date,,NO_PROJECT_SITE_ESTABLISHED,"NO_PROJECT_SITE_ESTABLISHED: proposed/new facility, acquisition program, or generic program record has no defensible project-specific location",Consolidated Fleet Service Center (South/Southeast),"Exact-name, department, facility, capital-project, address, and GIS searches produced no unique project geometry",NO_MATCH,false,,false,REMAIN_UNMAPPED,UNMAPPED,,"Remain explicitly unmapped; do not use district, ZIP, neighborhood, department HQ, or similarly named facility centroids."
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/fleet/fuel-station-central,Fuel Station Central,Community Facilities,Fleet Services,Fleet Services,Official 2026 Bond source plus relevant City facility/project GIS layers searched,https://services.austintexas.gov/edims/document.cfm?id=456140,,,,,City of Austin,no geometry,none,sources through 2026-09-08 research date,,NO_PROJECT_SITE_ESTABLISHED,"NO_PROJECT_SITE_ESTABLISHED: proposed/new facility, acquisition program, or generic program record has no defensible project-specific location",Fuel Station Central,"Exact-name, department, facility, capital-project, address, and GIS searches produced no unique project geometry",NO_MATCH,false,,false,REMAIN_UNMAPPED,UNMAPPED,,"Remain explicitly unmapped; do not use district, ZIP, neighborhood, department HQ, or similarly named facility centroids."
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/fleet/fuel-station-northwest,Fuel Station Northwest,Community Facilities,Fleet Services,Fleet Services,Official 2026 Bond source plus relevant City facility/project GIS layers searched,https://services.austintexas.gov/edims/document.cfm?id=456140,,,,,City of Austin,no geometry,none,sources through 2026-09-08 research date,,NO_PROJECT_SITE_ESTABLISHED,"NO_PROJECT_SITE_ESTABLISHED: proposed/new facility, acquisition program, or generic program record has no defensible project-specific location",Fuel Station Northwest,"Exact-name, department, facility, capital-project, address, and GIS searches produced no unique project geometry",NO_MATCH,false,,false,REMAIN_UNMAPPED,UNMAPPED,,"Remain explicitly unmapped; do not use district, ZIP, neighborhood, department HQ, or similarly named facility centroids."
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/fleet/fuel-station-southeast,Fuel Station Southeast,Community Facilities,Fleet Services,Fleet Services,Official 2026 Bond source plus relevant City facility/project GIS layers searched,https://services.austintexas.gov/edims/document.cfm?id=456140,,,,,City of Austin,no geometry,none,sources through 2026-09-08 research date,,NO_PROJECT_SITE_ESTABLISHED,"NO_PROJECT_SITE_ESTABLISHED: proposed/new facility, acquisition program, or generic program record has no defensible project-specific location",Fuel Station Southeast,"Exact-name, department, facility, capital-project, address, and GIS searches produced no unique project geometry",NO_MATCH,false,,false,REMAIN_UNMAPPED,UNMAPPED,,"Remain explicitly unmapped; do not use district, ZIP, neighborhood, department HQ, or similarly named facility centroids."
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/hso/north-austin-homeless-resource-center,North Austin Homeless Resource Center,Community Facilities,HSO,Homeless Strategy,Official 2026 Bond source plus relevant City facility/project GIS layers searched,https://services.austintexas.gov/edims/document.cfm?id=456140,,,,,City of Austin,no geometry,none,sources through 2026-09-08 research date,,NO_PROJECT_SITE_ESTABLISHED,"NO_PROJECT_SITE_ESTABLISHED: proposed/new facility, acquisition program, or generic program record has no defensible project-specific location",North Austin Homeless Resource Center,"Exact-name, department, facility, capital-project, address, and GIS searches produced no unique project geometry",NO_MATCH,false,,false,REMAIN_UNMAPPED,UNMAPPED,,"Remain explicitly unmapped; do not use district, ZIP, neighborhood, department HQ, or similarly named facility centroids."
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/library/colony-park-branch-library,Colony Park Branch Library,Community Facilities,Austin Public Library,Libraries,Official 2026 Bond source plus relevant City facility/project GIS layers searched,https://services.austintexas.gov/edims/document.cfm?id=466344,,,,,City of Austin,no geometry,none,sources through 2026-09-08 research date,,NO_PROJECT_SITE_ESTABLISHED,"NO_PROJECT_SITE_ESTABLISHED: proposed/new facility, acquisition program, or generic program record has no defensible project-specific location",Colony Park Branch Library,"Exact-name, department, facility, capital-project, address, and GIS searches produced no unique project geometry",NO_MATCH,false,,false,REMAIN_UNMAPPED,UNMAPPED,,"Remain explicitly unmapped; do not use district, ZIP, neighborhood, department HQ, or similarly named facility centroids."
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/library/hampton-oak-hill,Hampton at Oak Hill Branch Renovation and Expansion,Community Facilities,Austin Public Library,Libraries,APL Library Branches — Table,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/APL_Library_Branches/FeatureServer/0,1573972e979b4c409fd80969321cff0d,APL_Library_Branches,0,32,City of Austin,point,source-native,,2025-03-11T19:15:50Z,YES_PRE_SNAPSHOT,YES_PRE_SNAPSHOT: library layer modified 2025-03-11,Hampton Branch at Oak Hill; 5125 Convict Hill Road,Exact official branch name and address,HIGH,false,,false,ELIGIBLE_FOR_GOVERNANCE_REVIEW,FACILITY_SITE_CONTEXT,,Existing-facility/project-site evidence; do not imply a capital construction footprint.
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/library/milwood-branch,Milwood Branch Library Renovation and Expansion,Community Facilities,Austin Public Library,Libraries,APL Library Branches — Table,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/APL_Library_Branches/FeatureServer/0,1573972e979b4c409fd80969321cff0d,APL_Library_Branches,0,33,City of Austin,point,source-native,,2025-03-11T19:15:50Z,YES_PRE_SNAPSHOT,YES_PRE_SNAPSHOT: library layer modified 2025-03-11,Milwood Branch; 12500 Amherst Drive,Exact official branch name and address,HIGH,false,,false,ELIGIBLE_FOR_GOVERNANCE_REVIEW,FACILITY_SITE_CONTEXT,,Existing-facility/project-site evidence; do not imply a capital construction footprint.
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/municipal-court/customer-service-center,Municipal Court Customer Service Center,Community Facilities,Municipal Court,Municipal Court,Official 2026 Bond source plus relevant City facility/project GIS layers searched,https://services.austintexas.gov/edims/document.cfm?id=456140,,,,,City of Austin,no geometry,none,sources through 2026-09-08 research date,,NO_PROJECT_SITE_ESTABLISHED,"NO_PROJECT_SITE_ESTABLISHED: proposed/new facility, acquisition program, or generic program record has no defensible project-specific location",Municipal Court Customer Service Center,"Exact-name, department, facility, capital-project, address, and GIS searches produced no unique project geometry",NO_MATCH,false,,false,REMAIN_UNMAPPED,UNMAPPED,,"Remain explicitly unmapped; do not use district, ZIP, neighborhood, department HQ, or similarly named facility centroids."
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/police/air-operations,Police Air Operations Facility,Community Facilities,Police,Police,Official 2026 Bond source plus relevant City facility/project GIS layers searched,https://services.austintexas.gov/edims/document.cfm?id=456140,,,,,City of Austin,no geometry,none,sources through 2026-09-08 research date,,NO_PROJECT_SITE_ESTABLISHED,"NO_PROJECT_SITE_ESTABLISHED: proposed/new facility, acquisition program, or generic program record has no defensible project-specific location",Police Air Operations Facility,"Exact-name, department, facility, capital-project, address, and GIS searches produced no unique project geometry",NO_MATCH,false,,false,REMAIN_UNMAPPED,UNMAPPED,,"Remain explicitly unmapped; do not use district, ZIP, neighborhood, department HQ, or similarly named facility centroids."
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/police/canyon-creek-northwest,Canyon Creek Northwest Substation,Community Facilities,Police,Police,EXTERNAL_tcad_parcel,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/EXTERNAL_tcad_parcel/FeatureServer/0,6f5f919cf5c948cfaa3b3c326af3fba3,EXTERNAL_tcad_parcel,0,284001,Travis County Appraisal District parcel data via City of Austin ArcGIS; project linkage by Austin Police Department,polygon,source-native,,2025-09-30T20:29:03Z,YES_PRE_SNAPSHOT,YES_PRE_SNAPSHOT: 2022 APD design record plus parcel layer modified 2025-09-30,APD design record: 9804 N FM 620 Rd; Parcel ID 0167370280; TCAD PID_10 0167370280,Exact official project address and parcel ID joined to unique official parcel feature,HIGH,false,,false,ELIGIBLE_FOR_GOVERNANCE_REVIEW,OFFICIAL_PROJECT_PARCEL,Official APD 2022 design record and site plan: https://services.austintexas.gov/edims/document.cfm?id=381512,The official APD design record uniquely identifies this parcel; parcel geometry is source-native and project-specific.
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/police/central-west-substation,Central West Police Substation,Community Facilities,Police,Police,Official 2026 Bond source plus relevant City facility/project GIS layers searched,https://services.austintexas.gov/edims/document.cfm?id=456140,,,,,City of Austin,no geometry,none,sources through 2026-09-08 research date,,NO_PROJECT_SITE_ESTABLISHED,"NO_PROJECT_SITE_ESTABLISHED: proposed/new facility, acquisition program, or generic program record has no defensible project-specific location",Central West Police Substation,"Exact-name, department, facility, capital-project, address, and GIS searches produced no unique project geometry",NO_MATCH,false,,false,REMAIN_UNMAPPED,UNMAPPED,,"Remain explicitly unmapped; do not use district, ZIP, neighborhood, department HQ, or similarly named facility centroids."
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/police/downtown-substation,Downtown Police Substation,Community Facilities,Police,Police,Official 2026 Bond source plus relevant City facility/project GIS layers searched,https://services.austintexas.gov/edims/document.cfm?id=456140,,,,,City of Austin,no geometry,none,sources through 2026-09-08 research date,,NO_PROJECT_SITE_ESTABLISHED,"NO_PROJECT_SITE_ESTABLISHED: proposed/new facility, acquisition program, or generic program record has no defensible project-specific location",Downtown Police Substation,"Exact-name, department, facility, capital-project, address, and GIS searches produced no unique project geometry",NO_MATCH,false,,false,REMAIN_UNMAPPED,UNMAPPED,,"Remain explicitly unmapped; do not use district, ZIP, neighborhood, department HQ, or similarly named facility centroids."
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/police/northeast-substation,Northeast Police Substation,Community Facilities,Police,Police,Official 2026 Bond source plus relevant City facility/project GIS layers searched,https://services.austintexas.gov/edims/document.cfm?id=456140,,,,,City of Austin,no geometry,none,sources through 2026-09-08 research date,,NO_PROJECT_SITE_ESTABLISHED,"NO_PROJECT_SITE_ESTABLISHED: proposed/new facility, acquisition program, or generic program record has no defensible project-specific location",Northeast Police Substation,"Exact-name, department, facility, capital-project, address, and GIS searches produced no unique project geometry",NO_MATCH,false,,false,REMAIN_UNMAPPED,UNMAPPED,,"Remain explicitly unmapped; do not use district, ZIP, neighborhood, department HQ, or similarly named facility centroids."
CANDIDATE / RESEARCH / NOT YET GOVERNED,community-facilities/police/scenario-based-training,Scenario Based Training Facility,Community Facilities,Police,Police,Official 2026 Bond facility source and departmental facility GIS reviewed,https://services.austintexas.gov/edims/document.cfm?id=456140,,,,,City of Austin,no geometry,none,2025-08-13 / 2026-01-21 source set,,INSUFFICIENT_PROJECT_LINKAGE,INSUFFICIENT_PROJECT_LINKAGE: contextual location is stable but not tied to the governed decision unit,Scenario Based Training Facility; official source says adjacent to the Public Safety Training Campus on recently acquired land,Campus context does not establish the new project's parcel or footprint,LOW,true,"A plausible campus/facility context exists, but no unique project site is proven.",false,NOT_ELIGIBLE,UNMAPPED,,LOW confidence is not suitable for production pins.
